id,text,class,notesCleaned
228,Feeling really angry can someone talk?I would appreciate it if I may vent my heart..,suicide,feeling really angry can someone talk? i would appreciate it if i may vent my heart 
2776,"Ones Around (98) We start at 0. We all start at ground zero. We all start with one goal, one focus, one passion. Someone telling you can't do it? Keep quiet and show them you can. Release the need to live for others expectations and what they want you to do, **you know what you want to do.**

Grind, Hustle, put every living breath into what the **FUCK** you want to do, **FUCK** the noise. Remember, just because you are losing at half, doesn't mean you won't win by the end of the game. Game forever. Marathon Focused. Remember that we are all on our own highways. One lane highway. Focus on what **YOU** love to do &amp; **YOU ONLY.**

If it isn't working for you? Pivot. Try something new. Don't quit, don't give up, whats the point of that? We have 1 life, many opportunities, many chances, so what you failed? so what you tried and it didn't go the way you wanted? so what? Is that **GOING TO STOP YOU?** Better Not. Pick yourself up, dust yourself off and lets get to it. **NOW.**

I believe in you, I believe in trying, trying and then after that? You got it, Trying again. Failures are only failures if there is nothing learned from the situation. **TRY AGAIN.** It will all work out, stay focused on what **YOU** are passionate about. Put your everything into, blood, sweat, tears, pain, joy, **EVERYTHING.** 

**Get to it.** The world is counting on you.

I love you.

Drey &lt;3

*Processing img z3uvlh5sl6c61...*",non-suicide,"ones around 98 we start at 0 we all start at ground zero we all start with one goal, one focus, one passion someone telling you can t do it? keep quiet and show them you can release the need to live for others expectations and what they want you to do,  you know what you want to do grind, hustle, put every living breath into what the fuck you want to do, fuck  the noise remember, just because you are losing at half, doesn't mean you won't win by the end of the game game forever marathon focused remember that we are all on our own highways one lane highway focus on what you love to if it isn t working for you? pivot try something new don t quit, don't give up, whats the point of that? we have 1 life, many opportunities, many chances, so what you failed? so what you tried and it didn t go the way you wanted? so what? is that  going to stop you?  better not pick yourself up, dust yourself off and lets get to it  now   i believe in you, i believe in trying, trying and then after that? you got it, trying again failures are only failures if there is nothing learned from the situation  try again it will all work out, stay focused on what you are passionate about put your everything into, blood, sweat, tears, pain, joy, everything get to it  the world is counting on you i love you drey"
15147,"Bliss used to be niceLet me just start off as I thought I had everything, but it seemed to just be a lie.

I had friends, but they are no where. I try my best to initiate and talk, not just that; I try and I plan things to do. I get ignored. Everyone ignores me, things seem pointless of course. I did try making other friends, but of course... I didn't have hope, along with family, with they always fight. 

I am told I was a disappointment many times, from people I care about to family. I know it's just me, who can I blame. I am ghost, if I was hated that means someone cares to take that time out their day. 

Life was getting me down, I didn't have anything. Until I met someone, but it seemed to be a lie. Even in the end, I really meant little to nothing. Even when I clung on to the happiness I had. I try to do what I can, to be the best as they would like.

The only real thing I have is cancer, I don't want it to take me. I rather do it myself. I try to fight, I try to do my best, to not give up... but look all that hurt. Things are pointless and I can't trust anyone. 

Used to laugh and joke all the time, with a smile on my face, with positivity. Taking the day without any problems and I could handle anything. You can guess how I changed.

Thank you",suicide,"bliss used to be nicelet me just start off as i thought i had everything, but it seemed to just be a lie  i had friends, but they are no where i try my best to initiate and talk, not just that i try and i plan things to do i get ignored everyone ignores me, things seem pointless of course i did try making other friends, but of course  i didn t have hope, along with family, with they always fight  i am told i was a disappointment many times, from people i care about to family i know it s just me, who can i blame i am ghost, if i was hated that means someone cares to take that time out their day  life was getting me down, i didn t have anything until i met someone, but it seemed to be a lie even in the end, i really meant little to nothing even when i clung on to the happiness i had i try to do what i can, to be the best as they would like  the only real thing i have is cancer, i don t want it to take me i rather do it myself i try to fight, i try to do my best, to not give up  but look all that hurt things are pointless and i can t trust anyone  used to laugh and joke all the time, with a smile on my face, with positivity taking the day without any problems and i could handle anything you can guess how i changed  thank you"
13,"It ends tonight.I can’t do it anymore. 
I quit.",suicide,it ends tonight i cant do it anymore  i quit 
3,Am I weird I don't get affected by compliments if it's coming from someone I know irl but I feel really good when internet strangers do it,non-suicide,am i weird i don t get affected by compliments if it s coming from someone i know irl but i feel really good when internet strangers do it
24,Fuck the verizon smart family app I can’t even watch porn privately anymore wtf why is that a feature,non-suicide,fuck the verizon smart family app i cant even watch porn privately anymore wtf why is that a feature
23,Been arrested - feeling suicidalEdit,suicide,been arrested  feeling suicidaledit
31,"Me: I know I have a really toxic house and I do my best to cope with with it by going to school, etc Rona: hahahaha, stay at home forcefully go brrrrrrrrr",non-suicide,"me i know i have a really toxic house and i do my best to cope with with it by going to school, etc rona hahahaha, stay at home forcefully go brrrrrrrrr"
105,"SuicideI didn’t plan on overdosing again, as in I figured I would kill myself in a different manner, but with the world as it is, overdosing is looking good. I have the pills ready. I’ve had ‘extra’ medication for months now. I have two months of everything I take. I have enough. Now, I must follow through.
Goodbye to everyone!",suicide,"suicidei didnt plan on overdosing again, as in i figured i would kill myself in a different manner, but with the world as it is, overdosing is looking good i have the pills ready ive had extra medication for months now i have two months of everything i take i have enough now, i must follow through goodbye to everyone "
124,"I’m just happy I got most of my money back I still lost close to $200, but hey.  
  
Here’s hoping the next seller I find doesn’t turn out to be a con artist",non-suicide,"im just happy i got most of my money back i still lost close to 200, but hey heres hoping the next seller i find doesnt turn out to be a con artist"
